,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
67,68,682,754,C2-Adipocites (2).tif,10899,858.192,2746.0159999999996,1191.2830000000001,804,2666,109,178,148.464,93.471,94.339,188.489,255,100,814,2666,109.204,107.404,0.5617
68,69,683,10,C2-Adipocites (2).tif,11231,3536.699,102.54,2037.4470000000001,3465,22,139,177,139.399,102.58200000000001,67.115,185.648,255,100,3506,22,107.557,132.83100000000002,0.4565
69,70,684,253,C2-Adipocites (2).tif,10793,3264.3309999999997,1040.7160000000001,1643.1729999999998,3204,947,124,177,152.464,90.133,88.67399999999999,178.373,255,100,3245,1123,80.643,120.786,0.4918
70,71,685,319,C2-Adipocites (2).tif,11203,1876.4520000000002,1189.5330000000001,1184.756,1806,1111,134,150,145.47,98.055,68.218,156.774,255,100,1825,1248,58.033,111.93799999999999,0.5574
71,72,686,89,C2-Adipocites (2).tif,10838,3523.804,519.506,882.063,3463,439,114,158,154.382,89.385,67.273,166.859,255,100,3487,590,64.817,104.19,0.6017
72,73,687,333,C2-Adipocites (2).tif,11500,3644.0840000000003,1266.588,1446.161,3573,1179,158,159,139.627,104.867,41.345,169.77900000000002,255,100,3606,1335,66.757,114.772,0.4578
73,74,688,360,C2-Adipocites (2).tif,11625,1850.731,1349.8110000000001,1605.415,1767,1272,142,155,137.431,107.7,100.604,163.811,255,100,1822,1272,108.87700000000001,140.6,0.5282
74,75,689,448,C2-Adipocites (2).tif,11666,2667.43,1601.335,1760.168,2572,1530,168,146,136.484,108.83,14.787,182.937,255,100,2575,1648,25.585,139.554,0.4756
75,76,690,64,C2-Adipocites (2).tif,10821,2075.281,422.39099999999996,1580.244,2001,321,136,197,162.285,84.899,73.183,197.687,255,100,2050,515,78.917,123.65,0.4039
76,77,691,343,C2-Adipocites (2).tif,11986,2887.844,1303.386,864.992,2819,1224,130,148,141.047,108.199,78.398,153.844,255,100,2856,1370,63.768,123.421,0.623
77,78,692,633,C2-Adipocites (2).tif,12045,3628.1929999999998,2146.3160000000003,829.8789999999999,3559,2075,133,137,140.446,109.196,42.361000000000004,152.74200000000002,255,100,3573,2199,45.531000000000006,121.471,0.6611
78,79,693,325,C2-Adipocites (2).tif,11905,702.346,1218.589,847.477,625,1144,154,144,146.127,103.73100000000001,40.043,155.048,255,100,625,1238,6.667000000000001,116.20100000000001,0.5368
79,80,694,582,C2-Adipocites (2).tif,12151,835.612,1997.995,724.24,768,1934,145,126,139.096,111.227,163.041,154.156,255,100,771,1962,157.094,119.84100000000001,0.6651
80,81,695,355,C2-Adipocites (2).tif,12175,3187.8979999999997,1342.588,1031.058,3119,1258,129,163,140.869,110.04299999999999,107.015,165.922,255,100,3163,1258,100.76799999999999,128.588,0.579
81,82,696,730,C2-Adipocites (2).tif,11886,1632.832,2621.278,891.235,1565,2539,133,163,151.453,99.92299999999999,77.133,163.441,255,100,1618,2702,85.79,121.21,0.5483
82,83,697,154,C2-Adipocites (2).tif,12044,1092.072,793.215,1514.504,1014,721,167,154,147.33700000000002,104.081,144.875,188.733,255,100,1058,726,130.27200000000002,136.842,0.4683
83,84,698,301,C2-Adipocites (2).tif,12146,1749.796,1155.471,1851.565,1680,1069,138,207,144.30200000000002,107.17,113.928,209.308,255,100,1722,1069,98.51700000000001,130.313,0.4252
84,85,699,597,C2-Adipocites (2).tif,11562,2710.045,2041.2679999999998,1192.999,2636,1964,154,173,159.066,92.54799999999999,122.944,184.835,255,100,2676,1967,125.75399999999999,109.331,0.434
85,86,700,489,C2-Adipocites (2).tif,11697,3785.2940000000003,1732.399,1038.857,3704,1651,143,153,156.75799999999998,95.007,61.942,184.62900000000002,255,100,3705,1775,39.726,118.79299999999999,0.5346
86,87,701,487,C2-Adipocites (2).tif,12438,3925.514,1718.465,969.2760000000001,3857,1646,131,150,132.64700000000002,119.38799999999999,61.967,159.138,255,100,3873,1772,43.727,128.45600000000002,0.633
