 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret
6502,untitled3_green_thresh.tif:Green,1.306,36.370,26.231,15.315,35.625,24.979,1.490,2.125,1.577,1.054,71.450,2.140,0,3471,2602,83.290,1.424
6503,untitled3_green_thresh.tif:Green,1.310,8.696,20.811,5.279,8.000,20.208,1.458,1.260,1.437,1.160,163.217,1.552,0,781,1947,145.670,1.224
6504,untitled3_green_thresh.tif:Green,1.311,16.998,27.301,7.330,16.312,26.458,1.344,1.677,1.583,1.054,76.628,1.690,0,1598,2540,103.180,1.258
6505,untitled3_green_thresh.tif:Green,1.315,33.508,4.842,17.216,32.677,3.948,1.583,1.635,1.328,1.261,50.619,1.784,0,3167,535,64.033,1.563
6506,untitled3_green_thresh.tif:Green,1.315,37.801,22.356,6.478,37.104,21.615,1.344,1.427,1.469,1.140,47.457,1.564,0,3568,2191,41.760,1.228
6507,untitled3_green_thresh.tif:Green,1.326,30.082,13.573,7.096,29.365,12.740,1.396,1.531,1.464,1.153,79.556,1.545,0,2873,1370,73.153,1.287
6508,untitled3_green_thresh.tif:Green,1.326,17.720,19.743,8.597,16.719,19.146,2.073,1.062,1.828,0.923,5.433,2.093,0,1605,1921,8.009,1.040
6509,untitled3_green_thresh.tif:Green,1.345,34.787,25.370,11.388,33.823,24.521,1.729,1.854,1.517,1.129,141.228,1.879,0,3352,2355,101.185,1.495
6510,untitled3_green_thresh.tif:Green,1.346,16.324,6.028,10.602,15.688,5.198,1.260,1.927,1.633,1.050,93.830,1.943,0,1559,499,97.392,1.248
6511,untitled3_green_thresh.tif:Green,1.350,29.023,12.707,8.536,28.333,11.927,1.312,1.604,1.559,1.103,73.422,1.677,0,2752,1294,62.639,1.288
6512,untitled3_green_thresh.tif:Green,1.353,37.994,3.669,13.303,37.271,2.812,1.542,1.729,1.771,0.973,56.168,1.970,0,3587,431,51.009,1.307
6513,untitled3_green_thresh.tif:Green,1.359,33.217,13.962,7.891,32.500,13.104,1.385,1.688,1.497,1.156,106.941,1.709,0,3163,1258,99.118,1.320
6514,untitled3_green_thresh.tif:Green,1.377,40.870,17.915,7.318,40.219,17.115,1.333,1.583,1.397,1.255,77.804,1.681,0,3874,1776,50.786,1.299
6515,untitled3_green_thresh.tif:Green,1.377,26.931,23.829,10.430,25.896,23.115,2.583,1.417,2.126,0.825,165.377,2.718,0,2486,2263,161.912,1.161
6516,untitled3_green_thresh.tif:Green,1.382,22.736,3.026,9.599,21.833,2.406,2.021,1.208,1.732,1.015,175.484,2.079,0,2096,265,166.381,1.203
6517,untitled3_green_thresh.tif:Green,1.387,36.748,12.296,9.682,36.010,11.542,1.625,1.594,1.535,1.151,48.185,1.697,0,3457,1217,20.103,1.331
6518,untitled3_green_thresh.tif:Green,1.395,36.825,1.062,11.038,36.104,0.323,1.406,1.750,1.525,1.164,68.572,1.842,0,3504,32,109.152,1.365
6519,untitled3_green_thresh.tif:Green,1.423,32.338,24.004,5.902,31.688,23.208,1.271,1.521,1.507,1.202,109.325,1.635,0,3078,2229,120.651,1.256
6520,untitled3_green_thresh.tif:Green,1.428,28.809,14.400,7.565,28.062,13.667,1.500,1.490,1.412,1.288,133.207,1.554,0,2694,1366,164.846,1.344
6521,untitled3_green_thresh.tif:Green,1.437,15.253,4.992,8.198,14.604,4.083,1.375,1.729,1.611,1.136,69.049,1.769,0,1423,554,72.525,1.248
6522,untitled3_green_thresh.tif:Green,1.444,29.484,15.854,10.723,28.510,15.146,1.792,1.385,1.496,1.229,179.271,1.810,0,2738,1505,169.725,1.374
6523,untitled3_green_thresh.tif:Green,1.453,25.003,25.344,9.899,24.344,24.490,1.406,1.698,1.523,1.215,81.738,1.757,0,2345,2354,131.154,1.363
