 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Average Diameter
876,cells4.jpg,2368,1394.28,669.808,246.108,1366,632,55,68,63.939,47.155,65.379,71.309,255,100,1379,698,67.751,52.495,55.547
1634,cells4.jpg,2369,872.123,1205.112,531.186,838,1172,65,64,61.552,49.004,136.378,69.656,255,100,845,1181,140.826,61.017,55.278
3436,cells4.jpg,2369,1709.804,2776.866,254.593,1679,2743,61,67,63.911,47.195,58.599,69.921,255,100,1703,2810,73.379,51.58,55.553
2751,cells4.jpg,2371,1331.968,2101.191,221.522,1301,2072,63,59,60.174,50.169,145.843,66.851,255,100,1310,2072,124.641,51.727,55.1715
2047,cells4.jpg,2372,1245.376,1544.551,545.914,1201,1502,73,82,65.307,46.245,87.735,92.455,255,100,1201,1505,128.853,62.394,55.776
2466,cells4.jpg,2372,966.676,1903.684,321.605,937,1863,63,72,61.61,49.02,83.215,75.273,255,100,956,1935,70.602,56.569,55.315
903,cells4.jpg,2375,972.604,692.036,539.571,939,649,72,87,80.809,37.421,54.129,97.949,255,100,956,736,62.65,53.564,59.115
2027,cells4.jpg,2375,592.448,1522.34,389.647,567,1485,53,81,66.456,45.503,80.401,81.394,255,100,587,1566,84.359,52.239,55.9795
415,cells4.jpg,2379,915.647,352.589,290.978,886,321,58,63,56.994,53.146,72.975,66.03,255,100,889,367,35.134,56.5,55.07
1468,cells4.jpg,2380,2655.99,1088.315,457.973,2632,1052,56,91,67.098,45.162,87.648,91.269,255,100,2654,1052,94.399,55.836,56.13
2800,cells4.jpg,2385,1798.029,2142.461,335.747,1764,2116,68,59,60.222,50.425,174.212,68.066,255,100,1764,2147,2.526,57.002,55.3235
1903,cells4.jpg,2388,96.186,1407.322,256.108,72,1371,51,69,65.769,46.23,101.519,70.406,255,100,89,1440,78.53,49.484,55.9995
2517,cells4.jpg,2388,1626.221,1931.173,356.333,1599,1900,61,66,63.065,48.212,49.13,68.411,255,100,1614,1966,74.745,55.947,55.6385
1061,cells4.jpg,2390,28.881,794.787,311.12,6,756,51,81,69.791,43.602,110.937,81.498,255,100,20,756,96.34,51,56.6965
826,cells4.jpg,2392,2218.003,645.029,344.434,2193,596,51,89,79.145,38.481,73.587,93.92,255,100,2210,685,71.372,44.518,58.813
1638,cells4.jpg,2396,806.88,1216.087,393.688,783,1173,49,94,73.086,41.741,79.77,94.26,255,100,800,1267,85.741,48.626,57.4135
234,cells4.jpg,2400,1091.737,194.458,245.865,1059,171,67,53,62.984,48.517,18.996,69.26,255,100,1060,205,17.65,53,55.7505
1947,cells4.jpg,2403,4018.263,1446.04,385.647,3983,1413,67,66,59.163,51.715,133.693,67.742,255,100,3983,1443,171.511,61.047,55.439
1790,cells4.jpg,2405,422.173,1326.387,251.907,394,1290,55,70,69.493,44.064,61.463,72.422,255,100,412,1359,72.316,46.291,56.7785
2414,cells4.jpg,2405,3077.144,1850.724,684.767,3007,1823,118,62,84.182,36.375,163.876,123.665,255,100,3007,1828,162.591,56.025,60.2785
2093,cells4.jpg,2410,1550.478,1577.695,310.978,1524,1545,57,66,65.085,47.146,48.119,75.717,255,100,1534,1608,56.31,55.4,56.1155
376,cells4.jpg,2411,1297.204,322.235,340.777,1264,294,63,62,59.341,51.732,141.13,70.235,255,100,1265,302,151.975,59.98,55.5365
2953,cells4.jpg,2412,1957.647,2276.924,324.291,1926,2245,65,62,57.705,53.22,11.342,67.624,255,100,1926,2289,23.532,57.92,55.4625
3475,cells4.jpg,2416,3991.227,2844.281,630.583,3960,2794,60,113,101.731,30.238,102.677,114.586,255,100,3984,2794,99.545,51.563,65.9845
1895,cells4.jpg,2419,2523.979,1398.125,339.99,2488,1367,66,70,60.947,50.535,126.618,72.277,255,100,2514,1367,104.421,56.569,55.741
609,cells4.jpg,2422,2360.918,480.007,296.149,2330,451,61,61,60.051,51.353,63.007,67.742,255,100,2342,510,58.891,57.649,55.702
2621,cells4.jpg,2422,2823.767,2003.164,315.12,2796,1970,54,77,62.854,49.062,110.356,78.645,255,100,2813,1970,101.739,53.666,55.958
1531,cells4.jpg,2426,1427.608,1134.094,294.149,1398,1102,60,60,61.799,49.982,39.248,72.346,255,100,1403,1162,49.485,54.113,55.8905
3352,cells4.jpg,2426,3251.766,2685.753,300.291,3221,2654,60,62,62.057,49.775,33.663,67.742,255,100,3238,2716,58.891,55.387,55.916
3377,cells4.jpg,2429,2251.301,2708.76,274.492,2222,2676,56,68,66.929,46.209,107.998,68.884,255,100,2245,2676,103.431,52.737,56.569
3599,cells4.jpg,2431,1954.29,2970.519,320.434,1924,2938,66,60,59.552,51.976,164.966,68.622,255,100,1931,2946,133.229,55.077,55.764
1928,cells4.jpg,2433,1761.293,1429.409,359.505,1732,1398,66,65,61.991,49.972,35.59,69.462,255,100,1749,1463,67.126,59.323,55.9815
1388,cells4.jpg,2438,3679.832,1024.725,317.605,3651,992,58,68,61.965,50.095,82.359,71.169,255,100,3675,1060,72.838,58,56.03
3312,cells4.jpg,2440,1121.693,2636.598,275.078,1090,2606,60,61,58.578,53.036,42.776,75.822,255,100,1093,2662,41.257,60,55.807
923,cells4.jpg,2445,3842.399,691.211,254.007,3811,661,59,62,58.793,52.95,71.805,65.215,255,100,3812,706,35.64,56.726,55.8715
1506,cells4.jpg,2451,450.14,1114.576,286.593,425,1079,57,69,64.404,48.455,105.348,70.831,255,100,439,1148,76.945,56.487,56.4295
1335,cells4.jpg,2454,1291.137,993.09,345.362,1263,952,56,76,62.511,49.984,97.078,76.531,255,100,1287,952,96.754,55.449,56.2475
2276,cells4.jpg,2465,2928.586,1760.889,398.274,2894,1721,69,78,61.043,51.415,87.739,81.841,255,100,2915,1789,54.951,63.657,56.229
2234,cells4.jpg,2467,3981.153,1723.246,439.831,3940,1682,65,93,74.999,41.882,79.988,93.771,255,100,3974,1775,82.648,60.378,58.4405
3401,cells4.jpg,2468,3299.771,2735.735,349.848,3266,2705,68,64,65.03,48.321,148.925,71.028,255,100,3266,2723,144.744,58.447,56.6755
327,cells4.jpg,2470,632.281,293.208,547.671,603,255,61,78,68.745,45.747,98.413,78.518,255,100,629,255,96.582,60.149,57.246
2125,cells4.jpg,2471,2186.792,1616.525,371.061,2160,1575,54,78,66.646,47.207,86.96,78.518,255,100,2184,1653,83.418,53.554,56.9265
1340,cells4.jpg,2474,3619.841,985.319,282.291,3587,956,70,58,59.89,52.596,3.841,70.576,255,100,3587,986,7.326,56.666,56.243
1115,cells4.jpg,2475,166.702,823.087,294.635,133,791,64,68,65.384,48.196,43.94,71.694,255,100,134,837,30.141,58.339,56.79
2287,cells4.jpg,2475,1537.754,1760.074,426.96,1505,1727,64,69,60.543,52.05,85.496,69.721,255,100,1530,1727,98.246,61.719,56.2965
984,cells4.jpg,2476,3788.641,737.368,289.078,3760,706,57,65,62.089,50.775,62.443,68.242,255,100,3761,759,34.854,55.579,56.432
2620,cells4.jpg,2478,1363.005,2001.423,279.22,1332,1970,59,63,58.557,53.881,134.96,65.803,255,100,1357,1970,106.783,56.919,56.219
2377,cells4.jpg,2481,2466.356,1830.224,365.404,2436,1795,63,68,62.08,50.885,126.542,71.784,255,100,2458,1863,71.313,56.957,56.4825
1950,cells4.jpg,2484,1046.738,1448.153,370.233,1017,1417,64,67,64.799,48.809,51.385,73.239,255,100,1028,1478,55.008,54.701,56.804
3047,cells4.jpg,2485,2153.978,2365.606,303.806,2124,2333,66,69,60.865,51.984,12.888,71.309,255,100,2143,2402,75.379,60.974,56.4245
931,cells4.jpg,2488,3559.416,699.004,251.664,3529,670,66,59,60.838,52.07,9.201,70.228,255,100,3529,721,19.983,57.211,56.454
3310,cells4.jpg,2488,2394.381,2637.406,294.149,2365,2605,65,62,56.964,55.611,50.48,70.661,255,100,2365,2654,26.928,58.538,56.2875
3587,cells4.jpg,2489,4019.48,2971.457,515.186,3986,2928,74,81,65.442,48.426,68.981,81.222,255,100,4013,2928,94.236,63.685,56.934
1110,cells4.jpg,2491,3768.248,825.294,519.529,3719,787,92,78,83.801,37.847,45.826,100.648,255,100,3720,851,25.292,54.285,60.824
1443,cells4.jpg,2494,3817.633,1056.175,390.86,3781,1031,76,58,68.166,46.585,6.661,77.466,255,100,3781,1064,11.165,56.122,57.3755
2384,cells4.jpg,2497,354.857,1849.658,917.117,316,1800,73,129,79.807,39.837,77.42,130.115,255,100,332,1929,82.493,68.225,59.822
1801,cells4.jpg,2498,78.911,1332.596,285.664,55,1299,50,71,65.495,48.562,93.362,72.533,255,100,72,1370,74.814,50,57.0285
3368,cells4.jpg,2499,3894.887,2700.066,252.936,3861,2668,64,62,58.332,54.547,137.218,68.029,255,100,3861,2682,155.695,57.627,56.4395
1551,cells4.jpg,2502,704.94,1153.843,237.522,677,1116,52,76,67.944,46.887,73.002,76.792,255,100,699,1192,81.764,51.457,57.4155
2033,cells4.jpg,2502,2006.174,1524.148,311.22,1978,1489,56,71,63.565,50.116,83.796,73.763,255,100,1994,1560,74.268,53.482,56.8405
2357,cells4.jpg,2506,1440.208,1823.095,562.299,1405,1779,68,85,77.158,41.353,115.012,88.238,255,100,1425,1781,113.369,57.718,59.2555
849,cells4.jpg,2507,3973.178,646.147,375.99,3944,613,62,65,59.243,53.88,71.398,67.941,255,100,3952,669,42.614,61.247,56.5615
2056,cells4.jpg,2507,1776.634,1545.461,416.718,1748,1509,59,77,69.236,46.104,76.059,77.058,255,100,1782,1586,87.769,55.074,57.67
103,cells4.jpg,2510,920.307,81.535,346.576,887,53,64,57,62.238,51.349,21.46,73.593,255,100,899,107,47.203,57,56.7935
2568,cells4.jpg,2511,3467.171,1966.999,425.002,3433,1933,70,67,61.987,51.577,147.303,74.404,255,100,3444,1935,126.254,59.292,56.782
2793,cells4.jpg,2512,2274.5,2140.128,395.931,2230,2111,80,56,64.459,49.619,0.045,87.207,255,100,2230,2166,26.565,56,57.039
3025,cells4.jpg,2513,2919.249,2334.441,289.078,2886,2308,70,52,65.115,49.138,179.868,71.589,255,100,2886,2319,167.905,52,57.1265
3138,cells4.jpg,2513,3217.452,2441.613,496.558,3152,2419,130,53,106.815,29.955,178.543,131.4,255,100,3153,2425,169.032,52.216,68.385
170,cells4.jpg,2515,864.928,153.36,563.328,834,108,56,90,79.775,40.14,78.309,94.868,255,100,847,198,71.565,51.053,59.9575
3435,cells4.jpg,2519,1383.165,2775.63,709.595,1344,2741,90,79,62.86,51.022,155.991,90.355,255,100,1344,2783,5.08,73.681,56.941
2120,cells4.jpg,2521,1192.465,1611.429,367.747,1149,1573,77,69,70.494,45.533,43.065,89.939,255,100,1151,1642,48.155,51.109,58.0135
1373,cells4.jpg,2525,199.361,1022.623,453.772,155,983,85,75,81.914,39.248,150.173,93.086,255,100,162,985,129.333,53.509,60.581
2960,cells4.jpg,2530,2918.828,2275.606,232.551,2885,2249,70,54,67.678,47.597,1.819,70.114,255,100,2885,2274,176.73,51.306,57.6375
3308,cells4.jpg,2533,3481.081,2633.796,379.304,3435,2602,81,64,61.138,52.751,154.413,81.099,255,100,3435,2627,177.173,64,56.9445
2668,cells4.jpg,2534,2938.332,2034.386,333.747,2903,2001,69,67,66.622,48.428,146.372,76.381,255,100,2916,2006,136.061,55.454,57.525
2477,cells4.jpg,2535,3447.233,1898.461,309.321,3411,1867,68,60,67.22,48.017,136.489,72.471,255,100,3426,1868,129.401,51.619,57.6185
898,cells4.jpg,2543,166.623,688.22,283.463,131,647,66,74,67.978,47.631,44.046,77.82,255,100,150,717,64.093,50.6,57.8045
3400,cells4.jpg,2546,2702.994,2738.021,362.191,2674,2703,56,71,60.997,53.145,90.975,73.79,255,100,2680,2708,116.565,56,57.071
1446,cells4.jpg,2550,177.817,1070.324,417.973,138,1036,83,69,78.121,41.561,150.431,83.096,255,100,138,1069,177.241,49.019,59.841
1884,cells4.jpg,2554,2827.545,1395.318,249.037,2800,1361,58,66,63.099,51.536,119.847,67.179,255,100,2807,1368,134.397,56.26,57.3175
1941,cells4.jpg,2554,2890.265,1436.862,328.434,2859,1408,63,65,61.265,53.078,55.708,69.116,255,100,2875,1469,58.61,61.213,57.1715
