 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Mean Diameter,,Bounding Box Area,,Bounding Box Area %,,Bins
304,Image 5.tif (green),223,1279.047,2145.966,74.527,1268,2132,20,23,22.359,12.699,48.99,26.926,255,100,1274,2155,58.671,16.263,,,,,,,
120,Image 5.tif (green),224,1502.21,1328.674,86.77,1489,1316,26,21,24.094,11.837,145.949,29,255,100,1494,1316,136.397,16.509,,,,,,,
303,Image 5.tif (green),227,3101.421,2124.945,106.912,3084,2114,35,22,26.838,10.769,33.056,39.357,255,100,3084,2133,27.216,18.251,,,,,,,
323,Image 5.tif (green),227,800.689,2214.958,87.598,792,2202,17,31,27.258,10.603,103.992,31.575,255,100,798,2202,100.954,14.864,,,,,,,
177,Image 5.tif (green),229,3467.985,1519.928,81.941,3459,1509,23,25,22.415,13.008,65.634,26.87,255,100,3463,1534,45,18.263,,,,,,,
139,Image 5.tif (green),230,1586.322,1393.052,78.385,1579,1380,16,24,19.882,14.729,114.658,27.295,255,100,1579,1380,118.443,16,,,,,,,
227,Image 5.tif (green),236,1328.377,1698.864,85.698,1319,1687,25,24,21.566,13.933,151.359,26.833,255,100,1320,1687,116.565,18.229,,,,,,,
383,Image 5.tif (green),237,2605.487,2486.086,72.87,2595,2476,19,21,18.468,16.339,136.197,23.601,255,100,2595,2479,143.616,18.084,,,,,,,
281,Image 5.tif (green),239,1289.805,1999.776,70.87,1282,1989,16,23,22.801,13.346,72.092,26.42,255,100,1285,2012,60.524,15.038,,,,,,,
333,Image 5.tif (green),240,2717.588,2249.883,109.841,2704,2237,24,30,22.994,13.29,81.495,31.016,255,100,2714,2267,69.228,21.92,,,,,,,
337,Image 5.tif (green),242,411.69,2268.942,98.184,400,2258,29,18,24.531,12.561,177.414,29.428,255,100,400,2261,170.218,17.734,,,,,,,
141,Image 5.tif (green),250,2240.508,1403.084,125.255,2228,1384,24,35,28.396,11.209,66.369,40.311,255,100,2232,1419,60.255,20.637,,,,,,,
193,Image 5.tif (green),252,3490.337,1570.147,83.355,3480,1558,22,27,28.229,11.366,48.038,31.401,255,100,3482,1585,52.765,15.146,,,,,,,
382,Image 5.tif (green),253,2643.713,2481.658,103.941,2629,2464,24,33,21.548,14.949,107.227,33.136,255,100,2641,2497,84.806,21.094,,,,,,,
339,Image 5.tif (green),254,2702.189,2278.843,78.87,2693,2266,17,27,25.326,12.77,104.349,27.659,255,100,2701,2266,102.529,15.618,,,,,,,
119,Image 5.tif (green),255,1537.555,1324.335,87.355,1522,1315,29,22,29.572,10.979,148.912,33.302,255,100,1522,1315,138.652,15.8,,,,,,,
115,Image 5.tif (green),262,2230.916,1308.363,120.527,2214,1295,32,23,27.591,12.09,164.017,34.205,255,100,2218,1295,142.125,21.429,,,,,,,
234,Image 5.tif (green),263,651.211,1738.325,105.598,640,1717,25,32,23.453,14.278,116.967,34.54,255,100,650,1717,112.109,23.278,,,,,,,
326,Image 5.tif (green),263,341.53,2234.766,109.012,331,2217,20,36,31.311,10.695,111.632,37.696,255,100,337,2218,111.801,16.977,,,,,,,
5,Image 5.tif (green),264,3380.871,690.826,121.841,3366,670,29,35,33.014,10.182,60.026,41.881,255,100,3372,705,56.689,18.614,,,,,,,
112,Image 5.tif (green),265,2016.175,1279.277,79.113,2005,1270,21,24,20.964,16.095,137.503,25,255,100,2011,1270,106.26,20.22,,,,,,,
129,Image 5.tif (green),275,1538.489,1353.758,78.627,1529,1344,21,23,22.636,15.468,74.287,26.926,255,100,1536,1367,58.671,19.636,,,,,,,
182,Image 5.tif (green),279,3168.625,1543.378,89.113,3151,1535,34,17,25.184,14.106,159.099,36.401,255,100,3151,1535,159.075,16.458,,,,,,,
158,Image 5.tif (green),284,2753.215,1449.225,77.113,2743,1438,20,23,20.863,17.332,66.558,24.698,255,100,2745,1460,58.241,20,,,,,,,
72,Image 5.tif (green),285,3607.598,1092.63,78.042,3594,1082,23,21,25.494,14.233,138.283,29.206,255,100,3594,1084,141.953,18.366,,,,,,,
309,Image 5.tif (green),288,681.75,2166.403,85.012,667,2158,29,17,26.731,13.718,8.912,29.614,255,100,667,2171,11.689,16.556,,,,,,,
194,Image 5.tif (green),290,2957.079,1573.586,119.841,2943,1563,39,23,31.823,11.603,165.33,41.785,255,100,2943,1564,158.962,22.371,,,,,,,
25,Image 5.tif (green),293,3689.07,844.985,97.941,3670,833,31,22,28.462,13.107,170.125,33.106,255,100,3670,840,154.983,21.386,,,,,,,
169,Image 5.tif (green),294,1448.612,1488.473,77.799,1437,1480,22,21,26.067,14.361,140.668,30.414,255,100,1437,1480,136.332,19.137,,,,,,,
146,Image 5.tif (green),296,2206.767,1411.091,100.77,2193,1396,31,27,34.656,10.875,138.065,37.483,255,100,2197,1396,136.081,15.556,,,,,,,
16,Image 5.tif (green),304,3119.25,786.059,110.184,3105,775,24,23,20.416,18.959,150.745,31.145,255,100,3108,775,132.397,22.138,,,,,,,
244,Image 5.tif (green),336,1768.036,1787.143,100.042,1763,1766,11,43,43.825,9.762,87.667,43.417,255,100,1764,1809,82.057,11,,,,,,,
63,Image 5.tif (green),340,3673.491,1052.753,137.841,3665,1032,21,39,29.191,14.83,91.714,39.812,255,100,3665,1071,78.408,21,,,,,,,
86,Image 5.tif (green),344,1771.378,1170.064,103.012,1753,1160,35,22,33.07,13.244,153.27,35.355,255,100,1753,1165,151.26,18.918,,,,,,,
3,Image 5.tif (green),347,3670.411,645.091,104.912,3650,633,35,25,29.588,14.932,165.259,35.903,255,100,3650,643,167.125,19.642,,,,,,,
