, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
68,69,hfd28 ep1 tip.tif  (red) thresh.tif,7012,2306.322,465.95099999999996,864.24,2244,403,111,131,126.764,70.43,60.005,149.482,255,100,2247,523,48.526,87.236,0.4822
69,70,hfd28 ep1 tip.tif  (red) thresh.tif,5333,2399.89,453.385,521.747,2360,406,92,94,88.28,76.916,58.1,110.941,255,100,2366,498,56.023,86.69200000000001,0.6167
70,71,hfd28 ep1 tip.tif  (red) thresh.tif,24055,1669.486,560.571,1713.592,1540,408,234,290,227.699,134.51,58.394,305.944,255,100,1640,698,66.703,188.025,0.3545
71,72,hfd28 ep1 tip.tif  (red) thresh.tif,17950,3409.0229999999997,517.371,1847.634,3260,428,277,169,257.591,88.725,19.516,283.283,255,100,3262,549,13.889000000000001,125.179,0.3834
72,73,hfd28 ep1 tip.tif  (red) thresh.tif,4168,3979.475,487.56199999999995,362.191,3937,446,84,84,74.767,70.97800000000001,89.30799999999999,87.361,255,100,3937,503,15.945,74.012,0.5907
73,74,hfd28 ep1 tip.tif  (red) thresh.tif,5252,3589.97,492.61,610.943,3543,448,103,106,109.214,61.229,43.153999999999996,120.652,255,100,3571,554,56.836999999999996,78.0,0.481
74,75,hfd28 ep1 tip.tif  (red) thresh.tif,5989,2951.4320000000002,534.889,842.5830000000001,2913,451,83,146,114.281,66.725,88.037,146.342,255,100,2942,451,93.91799999999999,82.196,0.4942
75,76,hfd28 ep1 tip.tif  (red) thresh.tif,4822,2171.0789999999997,504.337,697.428,2130,456,87,105,86.73700000000001,70.783,112.49600000000001,108.171,255,100,2142,561,76.092,86.04899999999999,0.5279
76,77,hfd28 ep1 tip.tif  (red) thresh.tif,4894,2490.304,502.17800000000005,454.09,2441,459,97,90,83.991,74.189,143.878,98.412,255,100,2464,459,115.26299999999999,82.514,0.5606
77,78,hfd28 ep1 tip.tif  (red) thresh.tif,6432,2079.848,529.425,654.659,2024,474,99,117,103.635,79.02199999999999,87.463,121.198,255,100,2063,582,63.012,97.78399999999999,0.5553
